Item Number,Brand,Processor,Type,Release Year,Model,Price,Ram Size Clean,GPU Clean,Maximum Resolution Clean,Screen Size Clean,Processor Speed Clean,Refurbished,Condition Clean,OS Clean,SSD Capacity Clean,Hard Drive Capacity Clean,Storage Type Clean
85264983008,Dell,Intel Core i5-6300U (6th Gen),Laptop,nan,Dell Latitude E5470,299.75,8.0,Unknown,1920 x 1080,14.0,2.4,False,Good,Windows 10 Pro,250 GB,250 GB,HDD
85264983010,Dell,Intel Core i5 4th generation,Laptop,nan,E5440,377.2,Unknown,Unknown,1920 x 1080,14.0,2.6,False,Unknown,Windows 10 Pro,240 GB,Unknown,Unknown
85264983011,Fujitsu,Intel Core i3 4th generation,Laptop,nan,E734,473.8,Unknown,Unknown,1920 x 1080,13.3,3.0,False,Unknown,Windows 10 Pro,480 GB,Unknown,SSD
85264983015,Dell,Intel Core i5 4th generation,Laptop,nan,E5440,414.21,Unknown,Unknown,1920 x 1080,14.0,2.6,False,Unknown,Windows 11 Pro,480 GB,Unknown,Unknown
85264983016,Dell,Intel Core i5 4th generation,Laptop,nan,E6540,534.21,Unknown,AMD Radeon HD 8790M,1920 x 1080,15.6,3.0,False,Unknown,Windows 10 Pro,480 GB,Unknown,Unknown
85264983019,Lenovo,Intel Core i5 6th Gen.,Laptop,2017,Lenovo ThinkPad T460,200,8.0,Unknown,1920 x 1080,14.0,2.4,False,Unknown,Windows 10 Pro,512 GB,512 GB,SSD
85264983021,Dell,Intel Core i5 4th generation,Laptop,nan,E6540,775.49,Unknown,AMD Radeon HD 8790M,1920 x 1080,15.6,Unknown,False,Unknown,Windows 11 Pro,2 TB,Unknown,Unknown
85264983025,Lenovo,Intel Core i5 4th generation,Laptop,nan,x240,442.8,Unknown,Unknown,1920 x 1080,12.5,1.99,False,Unknown,Windows 11 Pro,240 GB,Unknown,SSD
85264983026,Lenovo,Intel Core i5 6th generation,Laptop,nan,T470,518.99,Unknown,Intel HD Graphics 520,1920 x 1080,14.0,Unknown,False,Unknown,Windows 10 Pro,120 GB,Unknown,Unknown
85264983033,Dell,Intel Core i5 4th generation,Laptop,nan,E5440,282.67,Unknown,Unknown,1920 x 1080,14.0,2.6,False,Unknown,Windows 11 Pro,240 GB,Unknown,Unknown
85264983036,Dell,Intel Core i5 5th generation,Laptop,nan,E7450,494.28,Unknown,Unknown,1920 x 1080,14.0,2.7,False,Unknown,Windows 11 Pro,960 GB,Unknown,Unknown
85264983041,Lenovo,Intel Core i3 10th generation,Unknown,nan,82C5,624.16,Unknown,Intel UHD Graphics,1920 x 1080,15.6,Unknown,False,Unknown,Windows 11 Pro,240 GB,Unknown,Unknown
85264983053,Fujitsu,Intel Core i3 6th generation,Unknown,nan,E736,358.5,Unknown,Unknown,1920 x 1080,13.3,Unknown,False,Good,Windows 11 Pro,256 GB,Unknown,Unknown
85264983054,Dell,Intel Core i5 4th generation,Laptop,nan,E5440,281.14,Unknown,Unknown,1920 x 1080,14.0,2.6,False,Unknown,Windows 10 Pro,240 GB,Unknown,Unknown
85264983068,Lenovo,Intel Core i3 10th generation,Laptop,nan,82C5,564.85,Unknown,Intel UHD Graphics,1920 x 1080,15.6,1.49,False,Unknown,Windows 10 Pro,240 GB,Unknown,SSD
85264983073,Dell,Intel Core i5 6th generation,Laptop,nan,E7270,652.23,Unknown,Unknown,1920 x 1080,12.5,2.8,False,Unknown,Windows 10 Pro,960 GB,Unknown,Unknown
85264983074,Acer,Intel Pentium,Unknown,nan,Acer TravelMate,21.64,Unknown,Unknown,1438 x 809,15.0,Unknown,False,Not Working,Unknown,Unknown,Unknown,Unknown
85264983077,Dell,Intel Core i5 4th generation,Laptop,nan,E5440,389.9,Unknown,Unknown,1920 x 1080,14.0,Unknown,False,Unknown,Windows 11 Pro,240 GB,Unknown,Unknown
85264983081,Dell,Intel Core i5 6th generation,Laptop,nan,E7270,396.66,Unknown,Unknown,1920 x 1080,12.5,2.8,False,Unknown,Windows 11 Pro,120 GB,Unknown,Unknown
85264983084,Lenovo,Intel Core i5 6th Gen.,Laptop,nan,Lenovo ThinkPad T470S,188.81,8.0,Unknown,1920 x 1080,14.0,2.4,False,Good,Windows 10 Pro,256 GB,256 GB,SSD
85264983093,Fujitsu,Intel Core i5 6th generation,Laptop,nan,E736,471.65,Unknown,Unknown,1920 x 1080,13.3,Unknown,False,Unknown,Windows 10 Pro,480 GB,Unknown,Unknown
85264983112,Dell,Intel Core i3 4th Gen.,Unknown,2014,Dell Latitude E5450,79.98,4.0,Unknown,1366 x 768,14.0,Unknown,False,Good,Windows 7 Home,500 GB,500 GB,HDD
85264983113,Acer,Intel Pentium,Laptop,nan,Acer Chromebook 15,60,4.0,Unknown,1920 x 1080,15.0,Unknown,False,New,Chrome OS,32 GB,32 GB,SSD
85264983114,Samsung,Intel Celeron,Laptop,2016,Samsung Chromebook 3,47,4.0,Unknown,1366 x 768,11.6,2.5,False,Good,Chrome OS,16 GB,16 GB,SSD
85264983115,Microsoft,Intel Pentium Gold processor 4415Y,Laptop,nan,Microsoft Surface Go,107.56,Unknown,Unknown,1007 x 566,10.5,Unknown,False,Unknown,Unknown,64 GB,64 GB,Unknown
85264983116,Lenovo,i5-4200m,Laptop,nan,E540,99.99,4.0,Unknown,1024 x 768,15.6,2.5,False,Good,Windows 7 Pro,500 GB,500 GB,HDD
85264983117,Lenovo,i5-6300u,Unknown,nan,Lenovo ThinkPad X260,99.95,8.0,Unknown,Unknown,Unknown,2.4,False,Unknown,Windows 10 Pro,256 GB,256 GB,SSD
85264983118,Dell,Intel Celeron,Laptop,2017,dell 3189 2 in 1,449.99,4.0,Unknown,1366 x 768,11.0,1.6,False,Unknown,Chrome OS,32 GB,32 GB,SSD
85264983119,Lenovo,Intel Core i5 2nd Gen.,Laptop,nan,Lenovo ThinkPad X220,80.99,4.0,Unknown,1366 x 768,12.5,2.5,Unknown,Unknown,Windows 10 Home,120 GB,320 GB,HDD
85264983120,Microsoft,Intel Core i5 10th Gen.,Laptop,nan,Microsoft Surface Laptop,174.99,8.0,Intel Iris Xe,2256 x 1504,13.5,1.2,False,Unknown,Unknown,128 GB,128 GB,SSD
85264983121,Apple,Intel Core i7 9th Gen.,Laptop,nan,"Apple MacBook Pro 15""",593.21,32.0,Unknown,1476 x 831,15.4,2.6,False,Good,macOS,512 GB,Unknown,SSD
85264983122,Dell,Intel Core i5 6th Gen.,Unknown,nan,dell 5414,179.99,8.0,Unknown,1920 x 1280,14.0,2.4,False,Good,Windows 10 Pro,512 GB,512 GB,SSD
85264983123,Dell,Intel Core i5 8th Gen.,Laptop,nan,Dell Latitude 5490,139.99,16.0,Intel UHD Graphics 620,1366 x 768,14.0,1.6,False,Unknown,Windows 11 Pro,500 GB,500 GB,HDD
85264983124,Microsoft,Intel Core i5,Laptop,nan,Microsoft Surface Pro,69.6,256.0,Unknown,1198 x 674,12.5,Unknown,False,Not Working,Unknown,256 GB,256 GB,SSD
85264983125,Dell,Intel Core i7-8665U,Laptop,nan,Dell Latitude 7400,334.99,32.0,Intel UHD Graphics 620,1920 x 1080,14.0,1.9,False,Excellent,Windows 11 Pro,512 GB,512 GB,SSD
85264983126,Dell,Intel Core i3 2nd Gen.,Laptop,nan,Dell Latitude E5420,79,4.0,Unknown,1342 x 755,14.0,2.3,False,Good,Windows 7 Home,250 GB,250 GB,HDD
85264983127,HP,Intel Pentium,Laptop,nan,HP 15 dw0083wm,39.98,Unknown,Unknown,1496 x 841,15.6,Unknown,False,Not Working,Unknown,Unknown,Unknown,Unknown
85264983128,HP,Intel Celeron N3350,Laptop,nan,Chromebook 14 G5,49,4.0,Unknown,1366 x 768,14.0,2.4,False,Unknown,Chrome OS,16 GB,1 GB,SSD
85264983129,Dell,Intel Core i7 4th Gen.,Laptop,nan,Dell Latitude E7440,73,8.0,Unknown,1342 x 755,14.0,2.1,False,Unknown,Windows 10 Home,500 GB,500 GB,HDD
85264983130,Dell,Intel Core 2 Duo,Laptop,2009,Dell Latitude D630,149,4.0,Unknown,1280 x 800,14.0,2.0,False,Unknown,Windows XP,128 GB,Unknown,SSD
85264983131,Dell,Intel Core i9 13th Gen.,Laptop,2023,Alienware 18,2378,32.0,NVIDIA RTX 4080,1920 x 1080,18.0,Unknown,False,New,Windows 11 Home,1 TB,1 TB,SSD
85264983132,Dell,i5,Unknown,nan,Dell Latitude E5430,22.55,Unknown,Unknown,1342 x 755,14.0,Unknown,False,Not Working,Unknown,Unknown,Unknown,Unknown
85264983133,Lenovo,AMD Ryzen 5,Laptop,nan,Lenovo ThinkPad T14,499.99,16.0,AMD Radeon,1920 x 1080,14.0,2.3,False,New,Windows 10 Pro,256 GB,256 GB,SSD
85264983134,Asus,Intel Core i5,Laptop,nan,K55A,69.99,6.0,Unknown,1496 x 841,15.6,2.5,False,Good,Windows 10 Home,750 GB,750 GB,HDD
85264983135,LG,Intel Core i7 11th Gen.,Laptop,nan,LG gram 17,989.99,16.0,Intel Iris Xe,2560 x 1600,17.0,2.9,Unknown,Unknown,Windows 11 Home,1 TB,Unknown,SSD
85264983136,Acer,Intel Core i7 10th Gen.,Laptop,nan,Acer Chromebook Spin 713,229.99,16.0,Intel UHD Graphics 620,2256 x 1504,13.5,1.8,False,Unknown,Chrome OS,128 GB,16 GB,SSD
85264983137,Acer,Intel Core i5 6th Gen.,Laptop,nan,Acer Switch Alpha 12,118.11,4.0,Unknown,2160 x 1440,12.0,2.3,False,Good,Windows 11 Pro,128 GB,Unknown,SSD
85264983138,Lenovo,Intel Core i5 10th Gen.,Laptop,2020,IdeaPad Flex 5 14IIL05,320,16.0,Intel UHD Graphics,1920 x 1080,14.0,1.0,False,Good,Windows 11 Home,512 GB,512 GB,SSD
85264983139,Dell,AMD A6 Dual-Core,Laptop,nan,Dell Inspiron 15 3565,75,4.0,Unknown,1496 x 841,15.6,Unknown,False,Good,Windows 10 Pro,500 GB,500 GB,Unknown
85264983140,Apple,Intel Core i5 4th Gen.,Unknown,nan,Air,99.99,4.0,Unknown,1246 x 701,13.0,Unknown,False,Good,Unknown,128 GB,Unknown,SSD
85264983141,HP,AMD,Laptop,nan,Hp Probook 6465B,75,4.0,Unknown,1342 x 755,14.0,1.6,False,Good,Windows 7 Home,320 GB,320 GB,HDD
85264983143,Dell,Intel Core i5 13th Gen.,Laptop,2023,Dell Inspiron 3530,400,16.0,Unknown,1920 x 1080,15.6,5.0,False,Unknown,Windows 11 Pro,512 GB,512 GB,SSD
85264983144,Dell,Intel Core i7 8th Gen.,Laptop,nan,Dell Latitude 7400,349.99,16.0,Intel UHD Graphics,1920 x 1080,14.0,1.9,Unknown,Unknown,Windows 11 Pro,512 GB,Unknown,SSD
85264983145,Dell,INTEL CORE i7 6th gen,Laptop,nan,Dell Precision 7720,399,16.0,Unknown,1920 x 1080,17.3,Unknown,False,Good,Unknown,512 GB,512 GB,SSD
85264983146,HP,i5-7200U,Laptop,2021,HP ProBook,99.99,8.0,Unknown,1366 x 768,15.6,2.5,False,Unknown,Windows 10 Home,500 GB,500 GB,HDD
85264983147,HP,Intel Core i5 10th Gen.,Laptop,nan,Samsung ChromeBook,199.99,8.0,Intel UHD Graphics,1920 x 1080,14.0,1.7,Unknown,Unknown,Chrome OS,64 GB,64 GB,SSD
85264983148,Dell,Intel Core i5 6th Gen.,Laptop,2013,Dell Latitude 3570,115,8.0,Unknown,1366 x 768,15.6,2.3,False,Unknown,Windows 10 Pro,256 GB,256 GB,SSD
85264983149,Dell,Intel Core i5 8th Gen.,Laptop,nan,14,399,32.0,Intel UHD Graphics 620,1920 x 1080,14.0,Unknown,False,Good,Unknown,512 GB,512 GB,SSD
85264983150,Microsoft,Intel Core i5 7th Gen.,Laptop,nan,PRO 1ST GEN,92.99,8.0,Unknown,2256 x 1504,13.5,2.6,False,Good,Windows 10 Pro,128 GB,128 GB,SSD
85264983152,HP,Intel Core i5 6th Gen.,Laptop,nan,HP ProBook 640 G2,180,8.0,Intel HD Graphics 520,1920 x 1080,14.0,2.4,False,Good,Windows 10 Pro,256 GB,Unknown,SSD
85264983153,Dell,Intel Core i7-8550U,Laptop,nan,Vostro 5471,69.99,4.0,Unknown,Unknown,Unknown,Unknown,False,Not Working,Unknown,Unknown,Unknown,Unknown
85264983154,Microsoft,Intel Core i7 10th Gen.,Laptop,nan,Microsoft Surface Book 3,725.18,16.0,Unknown,1294 x 728,13.5,1.3,False,Very Good,Windows 11 Home,256 GB,Unknown,SSD
85264983155,Dell,Intel Celeron,Laptop,nan,Samsung ChromeBook,29.89,4.0,Unknown,1112 x 626,11.6,Unknown,False,Good,Chrome OS,16 GB,16 GB,SSD
85264983156,Acer,Intel Celeron N,Laptop,2017,Acer Chromebook 11,38,4.0,Unknown,1366 x 768,11.6,1.6,Unknown,Unknown,Chrome OS,16 GB,16 GB,SSD
85264983157,Lenovo,Intel Core i3 11th Gen.,Laptop,2021,Lenovo IdeaPad Flex 5 14ITL05,269.99,4.0,Intel UHD Graphics,1920 x 1080,14.0,Unknown,Unknown,Unknown,Windows 11 Home,128 GB,Unknown,SSD
85264983158,HP,Intel Core i5 8th Gen.,Laptop,nan,HP Probook 650 G4,184.1,8.0,Unknown,1496 x 841,15.6,2.7,False,Good,Windows 11 Home,256 GB,Unknown,SSD
85264983159,HP,Intel Core i5 3rd Gen.,Laptop,nan,HP Probook 6570B,157.77,16.0,Unknown,1496 x 841,15.6,2.6,False,Unknown,Windows 10 Pro,500 GB,500 GB,HDD
85264983169,Lenovo,Intel Core i3 7th generation,Laptop,nan,13,462.86,Unknown,Unknown,1920 x 1080,13.3,Unknown,False,Unknown,Windows 11 Pro,480 GB,Unknown,SSD
85264983173,Dell,Intel Core i5 6th generation,Laptop,nan,E7270,470.5,Unknown,Unknown,1920 x 1080,12.5,2.8,False,Unknown,Windows 11 Pro,240 GB,Unknown,Unknown
85264983174,Dell,Intel Core i5 4th generation,Unknown,nan,E5440,430.41,Unknown,Unknown,1920 x 1080,14.0,Unknown,False,Unknown,Windows 10 Pro,360 GB,Unknown,Unknown
85264983177,Lenovo,Intel Core i5 6th generation,Laptop,nan,T470s,375.98,Unknown,Unknown,1920 x 1080,14.0,2.8,False,Unknown,Windows 11 Pro,480 GB,Unknown,Unknown
85264983180,Dell,Intel Core i5 4th generation,Laptop,nan,E5440,432.95,Unknown,Unknown,1920 x 1080,14.0,2.6,False,Unknown,Windows 11 Pro,960 GB,Unknown,Unknown
85264983190,Lenovo,Intel Core i3 7th generation,Laptop,nan,13,419.51,Unknown,Unknown,1920 x 1080,13.3,3.0,False,Unknown,Windows 11 Pro,128 GB,Unknown,SSD
85264983192,Dell,Intel Core i5 4th generation,Laptop,nan,E5440,333.88,Unknown,Unknown,1920 x 1080,14.0,2.6,False,Good,Windows 11 Pro,240 GB,Unknown,Unknown
85264983198,Dell,Intel Core i5 4th generation,Laptop,nan,E5440,314.38,Unknown,Unknown,1920 x 1080,14.0,2.6,False,Unknown,Windows 11 Pro,240 GB,Unknown,Unknown
85264983205,Dell,Intel Core i5 4th generation,Laptop,nan,E5440,462.67,Unknown,Unknown,1920 x 1080,14.0,2.6,False,Unknown,Windows 11 Pro,960 GB,Unknown,Unknown
85264983208,Dell,Intel Core i5 6th generation,Laptop,nan,E7270,414.64,Unknown,Unknown,1920 x 1080,12.5,Unknown,False,Unknown,Windows 10 Pro,120 GB,Unknown,SSD
85264983210,Dell,Intel Core i5 4th generation,Laptop,nan,E5440,314.38,Unknown,Unknown,1920 x 1080,14.0,2.6,False,Unknown,Windows 11 Pro,240 GB,Unknown,Unknown
85264983211,Dell,Intel Core i5 4th generation,Laptop,nan,E5440,302.74,Unknown,Unknown,1920 x 1080,14.0,Unknown,False,Unknown,Windows 10 Pro,240 GB,Unknown,Unknown
85264983215,Zebra,Intel Core i5 6th generation,Laptop,nan,R12 iX 125R1,770.33,Unknown,Unknown,1920 x 1080,12.5,2.8,False,Unknown,Windows 10 Pro,240 GB,Unknown,SSD
85264983216,Dell,Intel Core i5 6th generation,Laptop,nan,E7270,580.46,Unknown,Unknown,1920 x 1080,12.5,2.8,False,Good,Windows 10 Pro,480 GB,Unknown,Unknown
85264983217,Dell,Intel Core i5 5th generation,Laptop,nan,E7450,339.47,Unknown,Unknown,1920 x 1080,14.0,Unknown,False,Unknown,Windows 10 Pro,120 GB,Unknown,Unknown
85264983232,Dell,Intel Core i5 6th generation,Laptop,nan,E7270,511.71,Unknown,Unknown,1920 x 1080,12.5,Unknown,False,Unknown,Windows 10 Pro,480 GB,Unknown,SSD
85264983237,Lenovo,Intel Core i3 7th generation,Laptop,nan,13,482.9,Unknown,Unknown,1920 x 1080,13.3,Unknown,False,Unknown,Windows 10 Pro,120 GB,Unknown,Unknown
85264983246,Dell,Intel Core i5 4th generation,Laptop,nan,E5440,444.15,Unknown,Unknown,1920 x 1080,14.0,2.6,False,Unknown,Windows 11 Pro,960 GB,Unknown,Unknown
85264983252,Lenovo,Intel Core i5 6th generation,Laptop,nan,T470,571.85,Unknown,Intel HD Graphics 520,1342 x 755,14.0,3.0,False,Unknown,Windows 10 Pro,120 GB,Unknown,SSD
85264983253,Lenovo,Intel Core i5 6th generation,Laptop,nan,T470,570.81,Unknown,Intel HD Graphics 520,1342 x 755,14.0,3.0,False,Unknown,Windows 10 Pro,480 GB,Unknown,SSD
85264983255,Dell,Intel Core i5 4th generation,Laptop,nan,E5440,377.2,Unknown,Unknown,1920 x 1080,14.0,2.6,False,Unknown,Windows 10 Pro,240 GB,Unknown,Unknown
85264983260,Fujitsu,Intel Core i3 4th generation,Laptop,nan,E734,442.72,Unknown,Unknown,1920 x 1080,13.3,Unknown,False,Unknown,Windows 10 Pro,120 GB,Unknown,Unknown
85264983266,Lenovo,Intel Core i3 10th generation,Laptop,nan,82C5,829.48,Unknown,Intel UHD Graphics,1920 x 1080,15.6,1.49,False,Unknown,Windows 10 Pro,2 TB,Unknown,SSD
85264983271,Dell,Intel Core i5 4th generation,Tablet,nan,11 Pro 7130,370.43,Unknown,Unknown,1920 x 1080,10.8,Unknown,False,Unknown,Windows 10 Pro,120 GB,Unknown,Unknown
85264983282,Dell,Intel Core i5 5th generation,Laptop,nan,E7450,544.91,Unknown,Unknown,1920 x 1080,14.0,2.7,False,Unknown,Windows 10 Pro,2 TB,Unknown,Unknown
85264983293,Lenovo,Intel Core i5 6th generation,Unknown,nan,T470,613.45,Unknown,Intel HD Graphics 520,1342 x 755,14.0,Unknown,False,Unknown,Windows 10 Pro,240 GB,Unknown,Unknown
85264983294,Fujitsu,Intel Core i5 4th generation,Laptop,nan,A574,405.98,Unknown,Unknown,1920 x 1080,15.6,3.0,False,Unknown,Windows 10 Pro,120 GB,Unknown,SSD
85264983298,Dell,Intel Core i5 4th generation,Laptop,nan,E5440,333.88,Unknown,Unknown,1920 x 1080,14.0,2.6,False,Good,Windows 11 Pro,240 GB,Unknown,Unknown
85264983305,Dell,Intel Core i5 4th generation,Laptop,nan,E5440,313.66,Unknown,Unknown,1920 x 1080,14.0,2.6,False,Unknown,Windows 10 Pro,240 GB,Unknown,Unknown
85264983306,Lenovo,Intel Core i5 7th generation,Laptop,nan,T470s,319.57,Unknown,Unknown,1920 x 1080,14.0,3.1,False,Unknown,Windows 10 Pro,240 GB,Unknown,Unknown
85264983307,Dell,Intel Core i5 6th generation,Laptop,nan,E7270,451.48,Unknown,Unknown,1920 x 1080,12.5,2.8,False,Unknown,Windows 10 Pro,240 GB,Unknown,Unknown
85264983317,Dell,Intel Core i5 4th generation,Laptop,nan,E6540,641.49,Unknown,AMD Radeon HD 8790M,1920 x 1080,15.6,3.0,False,Unknown,Windows 11 Pro,960 GB,Unknown,Unknown
85264983319,Fujitsu,Intel Core i3 4th generation,Laptop,nan,E734,436.12,Unknown,Unknown,1920 x 1080,13.3,3.0,False,Unknown,Windows 10 Pro,240 GB,Unknown,SSD
85264983324,Lenovo,Intel Core i3 7th generation,Laptop,nan,13,482.9,Unknown,Unknown,1920 x 1080,13.3,Unknown,False,Unknown,Windows 10 Pro,120 GB,Unknown,Unknown
85264983325,Lenovo,Intel Core i3 10th generation,Laptop,nan,82C5,580.49,Unknown,Intel UHD Graphics,1920 x 1080,15.6,1.49,False,Unknown,Windows 10 Pro,480 GB,Unknown,SSD
85264983339,Dell,Intel Core i5 6th generation,Laptop,nan,E7270,439.01,Unknown,Unknown,1920 x 1080,12.5,2.8,False,Good,Windows 11 Pro,120 GB,Unknown,Unknown
85264983348,Dell,Intel Core i5 3rd generation,Laptop,nan,E5430,380.21,Unknown,Unknown,1920 x 1080,14.0,3.0,False,Unknown,Windows 11 Pro,960 GB,Unknown,SSD
85264983353,Samsung,Intel Celeron,Laptop,nan,Samsung ChromeBook,48,16.0,Unknown,1112 x 626,11.6,Unknown,False,Good,Chrome OS,16 GB,Unknown,SSD
85264983354,Microsoft,Intel Core i5,Laptop,nan,Microsoft Surface Pro,56.94,256.0,Unknown,1198 x 674,12.5,Unknown,False,Good,Unknown,256 GB,256 GB,SSD
85264983355,Dell,Intel Celeron,Laptop,2019,Dell Latitude 3189,93,4.0,Unknown,1366 x 768,11.6,1.1,False,Good,Windows 11 Home,64 GB,Unknown,SSD
85264983356,Lenovo,Intel Core i5-8265U,Unknown,nan,Lenovo E590,120,Unknown,Unknown,1496 x 841,15.6,1.6,False,Good,Unknown,256 GB,256 GB,SSD
85264983358,Microsoft,Intel Core i7 11th Gen.,Laptop,2021,Microsoft Surface Laptop 4,699,16.0,Intel Iris Xe,2256 x 1504,15.0,Unknown,False,New,Windows 11 Pro,256 GB,Unknown,SSD
85264983359,Dell,Intel Core i7 6th Gen.,Laptop,nan,Dell Precision 7510,235,16.0,NVIDIA Quadro M1000M,1920 x 1080,15.6,2.7,False,Good,Windows 10 Pro,512 GB,Unknown,SSD
85264983361,Lenovo,Intel Celeron,Laptop,nan,Lenovo N22,51.99,4.0,Unknown,1366 x 768,11.6,Unknown,False,Good,Linux,16 GB,16 GB,SSD
85264983362,Lenovo,Intel Core i3 3rd Gen.,Unknown,nan,Lenovo Thinkpad Edge,29.99,4.0,Unknown,1366 x 768,15.0,2.5,False,Good,Windows 10 Pro,300 GB,300 GB,HDD
85264983363,Panasonic,Intel Core i5 7th Gen.,Rugged Laptop,nan,Panasonic CF-33,685,16.0,Unknown,1150 x 647,12.0,2.6,False,Very Good,Unknown,1 TB,Unknown,SSD
85264983365,HP,Intel Celeron N,Laptop,nan,HP Stream,55,64.0,Unknown,1342 x 755,14.0,Unknown,False,Unknown,Unknown,64 GB,64 GB,Unknown
85264983366,Lenovo,AMD Ryzen 5,Laptop,nan,Lenovo ThinkPad T14,419.99,16.0,AMD Radeon,1920 x 1080,14.0,2.3,False,Good,Windows 10 Pro,256 GB,256 GB,SSD
85264983367,Samsung,Intel Celeron,Laptop,2016,Samsung Chromebook 3,40.46,4.0,Unknown,1366 x 768,11.6,2.5,False,Good,Chrome OS,16 GB,16 GB,SSD
85264983369,Dell,Intel Core i5 2nd Gen.,Laptop,nan,Dell Latitude E6410,89,4.0,Unknown,1352 x 760,14.1,Unknown,False,Unknown,Windows 10 Home,500 GB,500 GB,HDD
85264983370,Getac,Intel Atom Quad-Core,Unknown,nan,x7-Z8700,299.99,8.0,Unknown,1280 x 800,8.1,Unknown,False,Unknown,Windows 10 Home,128 GB,128 GB,SSD
85264983371,Lenovo,Intel Xeon,Laptop,nan,Lenovo Thinkpad P50,449.96,16.0,NVIDIA Quadro M2000M,3840 x 2160,15.6,2.8,False,Very Good,Windows 10 Home,512 GB,Unknown,SSD
85264983372,HP,AMD A4-9120C,Laptop,2019,HP Chromebook,99.99,4.0,AMD Radeon R4,1366 x 768,14.0,2.4,False,New,Chrome OS,32 GB,32 GB,SSD
85264983373,HP,Intel Core i7 8th Gen.,Laptop,2020,Elitebook 840 G5,172,8.0,Intel UHD Graphics 620,1920 x 1080,14.0,1.9,False,Good,Windows 11 Pro,256 GB,256 GB,SSD
85264983374,Google,Intel Core i5 8th Gen.,Laptop,2019,Google Pixelbook Go,219.99,8.0,Unknown,1920 x 1080,13.3,1.3,Unknown,Unknown,Chrome OS,128 GB,Unknown,SSD
85264983375,Lenovo,Intel Core i7 2nd Gen.,Laptop,nan,Lenovo ThinkPad W520,268,16.0,NVIDIA Quadro 1000M,1496 x 841,15.6,2.4,False,Very Good,Windows 10 Pro,512 GB,Unknown,SSD
85264983376,Microsoft,Intel Core i5 10th Gen.,Laptop,2019,Microsoft Surface Laptop 3,259.84,8.0,Unknown,2256 x 1504,13.5,1.5,False,Good,Windows 10 Pro,256 GB,256 GB,SSD
85264983377,Google,Google Tensor G2,Tablet,2023,Google Pixel Tablet GA04754-US,299.99,8.0,Unknown,2560 x 1600,10.95,Unknown,False,New,Android,128 GB,Unknown,UFS
85264983378,Lenovo,Intel Core i7 4th Gen.,Laptop,nan,ThinkPad T460p,187.77,16.0,NVIDIA GT 730M,1600 x 900,14.1,2.9,False,Unknown,Windows 10 Pro,256 GB,Unknown,SSD
85264983380,Asus,Intel Core i3 11th Gen.,Laptop,nan,Asus VivoBook Flip 14,289.49,8.0,Intel UHD Graphics,1920 x 1080,14.0,3.0,Unknown,Unknown,Windows 11 Home,256 GB,256 GB,SSD
85264983381,Lenovo,Intel Core i5 8th Gen.,Laptop,nan,Lenovo ThinkPad X280,139,8.0,Unknown,1198 x 674,12.5,Unknown,False,Good,Unknown,256 GB,Unknown,Unknown
85264983382,Dell,Intel Xeon,Laptop,nan,Precision 7750,879,64.0,NVIDIA Quadro RTX 3000,1920 x 1080,17.3,2.8,False,Good,Windows 10 Home,1 TB,Unknown,SSD
85264983383,Dell,Intel Core i7 9th Gen.,Laptop,nan,LATITUDE 5401,399.99,32.0,Unknown,1920 x 1080,14.0,Unknown,False,Excellent,Windows 11 Pro,1 TB,1 TB,SSD
85264983384,MSI,Intel Core i7 12th Gen.,Laptop,nan,MSI Cyborg 15,919,8.0,NVIDIA RTX 4060,1920 x 1080,15.6,2.3,False,New,Windows 11 Home,512 GB,512 GB,SSD
85264983385,Dell,Intel Core i5 13th Gen.,Laptop,2023,Dell Inspiron 3530,400,16.0,Unknown,1920 x 1080,15.6,5.0,False,Unknown,Windows 11 Pro,512 GB,512 GB,SSD
85264983386,Fujitsu,Core i5 8th gen i5-8365U,Laptop,nan,Does Not Apply,226.71,Unknown,Unknown,1366 x 768,13.3,Unknown,False,Unknown,Unknown,Unknown,Unknown,Unknown
85264983387,HP,Intel Core i5 12th Gen.,Laptop,nan,HP EliteBook 860 G9,725.18,16.0,Unknown,1534 x 863,16.0,3.3,False,New,Windows 11 Home,256 GB,Unknown,SSD
85264983388,HP,Intel Celeron,Laptop,2018,Chromebook 11 G6 EE,100,4.0,Unknown,1366 x 768,11.6,1.1,Unknown,Unknown,Chrome OS,16 GB,16 GB,SSD
85264983389,HP,AMD Ryzen 7,Laptop,nan,EliteBook 845 G8,449.99,16.0,AMD Radeon,1920 x 1080,14.0,2.6,False,New,Windows 10 Pro,256 GB,Unknown,SSD
85264983390,Lenovo,Amd A4-9120c Radeon R4 Dual-Core,Laptop,2019,Chromebook 14e,59.99,4.0,AMD Radeon R4,1920 x 1080,14.0,1.6,False,Unknown,Chrome OS,32 GB,Unknown,SSD
85264983391,Dell,Intel Pentium,Laptop,nan,3190,885,4.0,Unknown,1366 x 768,11.6,1.1,False,Good,Unknown,128 GB,128 GB,SSD
85264983392,Dell,Intel Core i7 8th Gen.,Laptop,nan,Dell Latitude 7490,154.99,16.0,Intel UHD Graphics 620,1920 x 1080,14.0,1.9,False,Good,Windows 11 Pro,256 GB,Unknown,SSD
85264983394,Dell,Intel Core i5 5th Gen.,Laptop,nan,Dell Latitude E5450,140,8.0,Unknown,1366 x 768,14.0,2.3,False,Good,Windows 10 Home,500 GB,Unknown,SSD
